section,notice_id,title,description,date,category,class_id,day,time,subject,faculty,faculty_id,name,department,email,phone,event_id,venue,id,type,content
timetable,,,,,,1.0,Friday,10:00-11:00,Data Structures,Audrey Roberts,,,,,,,,,,
timetable,,,,,,2.0,Thursday,11:15-12:15,DBMS,Christine Taylor,,,,,,,,,,
timetable,,,,,,3.0,Friday,1:15-2:15,Networks,Jessica Day,,,,,,,,,,
timetable,,,,,,4.0,Tuesday,2:15-3:15,DBMS,Alyssa Archer,,,,,,,,,,
timetable,,,,,,5.0,Thursday,1:15-2:15,Maths,David Rodriguez,,,,,,,,,,
timetable,,,,,,6.0,Friday,1:15-2:15,Maths,Alicia Armstrong,,,,,,,,,,
timetable,,,,,,7.0,Wednesday,10:00-11:00,Maths,James Andrews,,,,,,,,,,
timetable,,,,,,8.0,Wednesday,9:00-10:00,AI,Kevin Lamb,,,,,,,,,,
timetable,,,,,,9.0,Tuesday,9:00-10:00,Electronics,Monique Howard,,,,,,,,,,
timetable,,,,,,10.0,Monday,10:00-11:00,Electronics,Jennifer Collins,,,,,,,,,,
timetable,,,,,,11.0,Tuesday,1:15-2:15,AI,Theresa Moore,,,,,,,,,,
timetable,,,,,,12.0,Tuesday,2:15-3:15,Data Structures,Clayton Brooks,,,,,,,,,,
timetable,,,,,,13.0,Tuesday,2:15-3:15,DBMS,Patrick Bean,,,,,,,,,,
timetable,,,,,,14.0,Monday,9:00-10:00,Networks,John Fitzgerald,,,,,,,,,,
timetable,,,,,,15.0,Friday,9:00-10:00,Maths,Nicole Cain,,,,,,,,,,
timetable,,,,,,16.0,Wednesday,1:15-2:15,Networks,Theodore Barker,,,,,,,,,,
timetable,,,,,,17.0,Friday,9:00-10:00,OS,Paige Cunningham,,,,,,,,,,
timetable,,,,,,18.0,Wednesday,2:15-3:15,AI,Connie Hester,,,,,,,,,,
timetable,,,,,,19.0,Tuesday,9:00-10:00,AI,Shannon Johnson,,,,,,,,,,
timetable,,,,,,20.0,Tuesday,1:15-2:15,OS,Albert Hayden,,,,,,,,,,
timetable,,,,,,21.0,Friday,10:00-11:00,Maths,Kelly Mitchell,,,,,,,,,,
timetable,,,,,,22.0,Friday,11:15-12:15,DBMS,Sandra Garcia,,,,,,,,,,
timetable,,,,,,23.0,Tuesday,1:15-2:15,Data Structures,Michael Berg,,,,,,,,,,
timetable,,,,,,24.0,Wednesday,11:15-12:15,Data Structures,Heather Berg,,,,,,,,,,
timetable,,,,,,25.0,Friday,9:00-10:00,Electronics,Marc Bass,,,,,,,,,,
timetable,,,,,,26.0,Tuesday,11:15-12:15,DBMS,Samantha Rodriguez,,,,,,,,,,
timetable,,,,,,27.0,Wednesday,11:15-12:15,OS,Anthony Powers,,,,,,,,,,
timetable,,,,,,28.0,Monday,1:15-2:15,Electronics,Sarah Pratt MD,,,,,,,,,,
timetable,,,,,,29.0,Monday,11:15-12:15,DBMS,Lisa Collins,,,,,,,,,,
timetable,,,,,,30.0,Tuesday,11:15-12:15,DBMS,Linda Dawson,,,,,,,,,,
timetable,,,,,,31.0,Monday,2:15-3:15,Networks,Jeffrey Baker,,,,,,,,,,
timetable,,,,,,32.0,Friday,1:15-2:15,DBMS,Jose Johnson,,,,,,,,,,
timetable,,,,,,33.0,Wednesday,9:00-10:00,Electronics,Natalie Woods,,,,,,,,,,
timetable,,,,,,34.0,Tuesday,2:15-3:15,AI,Matthew Robinson,,,,,,,,,,
timetable,,,,,,35.0,Friday,2:15-3:15,Electronics,Lisa Alvarado,,,,,,,,,,
timetable,,,,,,36.0,Tuesday,1:15-2:15,Electronics,Philip Larson,,,,,,,,,,
timetable,,,,,,37.0,Tuesday,1:15-2:15,Maths,George Moreno,,,,,,,,,,
timetable,,,,,,38.0,Monday,9:00-10:00,Data Structures,Courtney Everett,,,,,,,,,,
timetable,,,,,,39.0,Friday,1:15-2:15,AI,Sean George,,,,,,,,,,
timetable,,,,,,40.0,Monday,1:15-2:15,Networks,Todd Taylor,,,,,,,,,,
timetable,,,,,,41.0,Monday,11:15-12:15,Networks,Andrew Owens,,,,,,,,,,
timetable,,,,,,42.0,Friday,9:00-10:00,Electronics,Brittany Walker,,,,,,,,,,
timetable,,,,,,43.0,Thursday,10:00-11:00,Networks,Jacob Mckay,,,,,,,,,,
timetable,,,,,,44.0,Thursday,1:15-2:15,Electronics,Michelle Bates,,,,,,,,,,
timetable,,,,,,45.0,Monday,10:00-11:00,OS,Tyrone Scott,,,,,,,,,,
timetable,,,,,,46.0,Tuesday,9:00-10:00,Electronics,Richard Wallace,,,,,,,,,,
timetable,,,,,,47.0,Friday,9:00-10:00,AI,Michael Brown,,,,,,,,,,
timetable,,,,,,48.0,Wednesday,9:00-10:00,Networks,Joseph Horton,,,,,,,,,,
timetable,,,,,,49.0,Wednesday,9:00-10:00,Electronics,Daniel Cline,,,,,,,,,,
timetable,,,,,,50.0,Monday,9:00-10:00,Electronics,Stacy Hopkins,,,,,,,,,,
timetable,,,,,,51.0,Thursday,2:15-3:15,DBMS,Samantha Young,,,,,,,,,,
timetable,,,,,,52.0,Thursday,1:15-2:15,OS,Miss Jasmine Johnson,,,,,,,,,,
timetable,,,,,,53.0,Monday,11:15-12:15,Electronics,Christopher Rodriguez,,,,,,,,,,
timetable,,,,,,54.0,Tuesday,10:00-11:00,Networks,Joseph Moreno,,,,,,,,,,
timetable,,,,,,55.0,Monday,11:15-12:15,AI,Diana Short DDS,,,,,,,,,,
timetable,,,,,,56.0,Tuesday,11:15-12:15,DBMS,Matthew Lucas,,,,,,,,,,
timetable,,,,,,57.0,Tuesday,9:00-10:00,Data Structures,Audrey Stevens,,,,,,,,,,
timetable,,,,,,58.0,Tuesday,1:15-2:15,DBMS,Kathryn Dunn,,,,,,,,,,
timetable,,,,,,59.0,Wednesday,2:15-3:15,DBMS,Diana Calhoun,,,,,,,,,,
timetable,,,,,,60.0,Thursday,9:00-10:00,AI,Henry Esparza,,,,,,,,,,
faculty,,,,,,,,,,,1.0,Melissa Castillo,IT,rachelmay@gmail.com,(869)299-4719,,,,,
faculty,,,,,,,,,,,2.0,Jason Petersen,Civil,vincenthorton@duran.info,660.845.5381x4362,,,,,
faculty,,,,,,,,,,,3.0,Victoria Cook,CSE,vanessa16@garza-lowery.com,001-831-131-5300x076,,,,,
faculty,,,,,,,,,,,4.0,Sarah Pruitt,IT,gregoryglenn@gmail.com,000-815-0707,,,,,
faculty,,,,,,,,,,,5.0,Lori Wyatt,Mechanical,mwilliams@hotmail.com,076-908-7020x26663,,,,,
faculty,,,,,,,,,,,6.0,Michelle Quinn,IT,robert07@gmail.com,+1-402-520-4490x795,,,,,
faculty,,,,,,,,,,,7.0,Krystal Barton,CSE,fullertina@hotmail.com,(673)780-2462,,,,,
faculty,,,,,,,,,,,8.0,Angelica Reed,ECE,jeffreynewton@hotmail.com,593.221.4152x291,,,,,
faculty,,,,,,,,,,,9.0,Donna Gilbert,Mechanical,amy83@ballard.com,225.082.4009x5110,,,,,
faculty,,,,,,,,,,,10.0,Dustin Dean,CSE,davidfreeman@gmail.com,+1-618-448-4116x52022,,,,,
faculty,,,,,,,,,,,11.0,Wesley Williams,Civil,grantnicholas@gmail.com,001-158-127-1637x45127,,,,,
faculty,,,,,,,,,,,12.0,Timothy Brown,IT,smithjason@snyder-jackson.com,055.607.2907x119,,,,,
faculty,,,,,,,,,,,13.0,Barry Martin,ECE,jwallace@davis.biz,001-167-090-0955x05105,,,,,
faculty,,,,,,,,,,,14.0,Kevin Bond,CSE,johnmiller@hotmail.com,080-959-0998x591,,,,,
faculty,,,,,,,,,,,15.0,Rebecca Mitchell,IT,destinydawson@hotmail.com,004.127.2779x973,,,,,
faculty,,,,,,,,,,,16.0,Jasmine Harris,CSE,richardsondavid@hotmail.com,109-466-6093x381,,,,,
faculty,,,,,,,,,,,17.0,Claudia Rivera,ECE,darinhunt@yahoo.com,702-364-8106,,,,,
faculty,,,,,,,,,,,18.0,Jose Harris,CSE,belindarodriguez@hoover-smith.com,+1-996-452-3563x0255,,,,,
faculty,,,,,,,,,,,19.0,Justin Stewart,IT,oschmidt@harper.com,001-255-933-2909x54275,,,,,
faculty,,,,,,,,,,,20.0,Scott Watts,IT,brittanyhart@gmail.com,(002)745-5098x1125,,,,,
faculty,,,,,,,,,,,21.0,Daniel Jacobs,CSE,haynesstanley@dickerson-bauer.com,+1-203-536-3983x4482,,,,,
faculty,,,,,,,,,,,22.0,Edgar Klein,Civil,joseph90@pacheco.com,001-257-580-7220,,,,,
faculty,,,,,,,,,,,23.0,Rebecca Smith,CSE,chelsea19@jackson.com,821.881.5015,,,,,
faculty,,,,,,,,,,,24.0,Stacy Garcia,Civil,sandersjudy@hamilton.com,+1-469-526-1767,,,,,
faculty,,,,,,,,,,,25.0,Frank Ross,Civil,williamscarrie@wright-chambers.net,544-917-4919x453,,,,,
faculty,,,,,,,,,,,26.0,Angela Cabrera,CSE,edwinjohnson@brown-horton.info,(832)598-7396,,,,,
faculty,,,,,,,,,,,27.0,Eric Camacho,Mechanical,patrickbell@potts-williams.biz,(325)228-7213,,,,,
faculty,,,,,,,,,,,28.0,Melissa King,ECE,marco69@hotmail.com,639-347-8670,,,,,
faculty,,,,,,,,,,,29.0,Brandy Phillips,CSE,guy61@gmail.com,(254)565-3497x749,,,,,
faculty,,,,,,,,,,,30.0,Jennifer Guerrero,CSE,elizabethmarshall@yahoo.com,(522)873-5468,,,,,
faculty,,,,,,,,,,,31.0,John Jefferson,Mechanical,aholmes@henderson.info,345.921.7108x708,,,,,
faculty,,,,,,,,,,,32.0,Stephanie Mayo,ECE,hmcdonald@cummings-washington.com,263.284.3857x452,,,,,
faculty,,,,,,,,,,,33.0,Adam White,IT,fwong@yahoo.com,245.769.7528,,,,,
faculty,,,,,,,,,,,34.0,Rebecca Payne,CSE,amber60@yahoo.com,(579)232-5351x0257,,,,,
faculty,,,,,,,,,,,35.0,Daniel White,IT,morrisaaron@hotmail.com,001-359-118-7441,,,,,
faculty,,,,,,,,,,,36.0,Terry Luna,IT,jamie63@sanchez.biz,(953)401-2898,,,,,
faculty,,,,,,,,,,,37.0,Michael Thomas,CSE,eugene21@yates-kaufman.org,208-994-7586x2221,,,,,
faculty,,,,,,,,,,,38.0,John Sanchez MD,Civil,andersonpatrick@yahoo.com,111-044-5712x6831,,,,,
faculty,,,,,,,,,,,39.0,Lisa Mann,Civil,psmith@houston-benson.org,+1-646-934-7736,,,,,
faculty,,,,,,,,,,,40.0,Samantha Martinez,IT,hwilliams@gmail.com,+1-079-571-0871x33549,,,,,
event,,Realigned radical circuit,Similar foot compare station perhaps easy.,2025-08-25,,,,,,,,,,,,1.0,Erikachester,,,
event,,Reverse-engineered reciprocal collaboration,Very medical pick describe specific board task. Popular operation all alone sign ball.,2025-10-05,,,,,,,,,,,,2.0,West Rossborough,,,
event,,De-engineered tangible encoding,Because personal may number table. More rather rate hotel must nor. Black myself feeling research.,2025-08-14,,,,,,,,,,,,3.0,Port Patrickbury,,,
event,,Focused radical hub,You help behind. Single point produce idea. Goal sort many after forward.,2025-08-22,,,,,,,,,,,,4.0,Clarkbury,,,
event,,Expanded interactive workforce,Want describe main human language dog.,2025-08-28,,,,,,,,,,,,5.0,North Katelyn,,,
event,,User-centric value-added flexibility,Without whether better machine. Suffer rest although.,2025-10-13,,,,,,,,,,,,6.0,Robertshire,,,
event,,Visionary client-driven model,Two state everyone matter. Cell the fight himself among. Heart catch man area American Mrs.,2025-08-22,,,,,,,,,,,,7.0,East Zachary,,,
event,,Visionary human-resource database,"Question enjoy fear. Really will brother.
Young pretty population common foreign.",2025-09-21,,,,,,,,,,,,8.0,Sampsonshire,,,
event,,Secured cohesive hierarchy,Traditional memory Congress stuff what identify. Raise beyond music.,2025-09-25,,,,,,,,,,,,9.0,Lake Fernando,,,
event,,Open-architected multimedia productivity,Statement then necessary leg whole. Test ground fly best history.,2025-10-12,,,,,,,,,,,,10.0,Anthonyborough,,,
event,,Operative global success,Including mouth road short.,2025-08-04,,,,,,,,,,,,11.0,Hernandezside,,,
event,,Synergized next generation archive,Cup society explain someone. Of stop morning hotel a season. Management speech focus artist.,2025-09-02,,,,,,,,,,,,12.0,Port Brianna,,,
event,,Automated static customer loyalty,Teach city current his weight lay. War necessary before. The out science pattern religious anyone.,2025-09-13,,,,,,,,,,,,13.0,Wilsonland,,,
event,,Versatile secondary approach,Speech claim theory east always smile. Page commercial institution past.,2025-09-26,,,,,,,,,,,,14.0,Port Michelle,,,
event,,Up-sized directional alliance,Evidence as research.,2025-09-03,,,,,,,,,,,,15.0,Port Susanville,,,
event,,Right-sized zero tolerance capability,Realize professional use by. Law exist candidate. Another which traditional cost black truth job.,2025-09-28,,,,,,,,,,,,16.0,New Shaneburgh,,,
event,,Up-sized optimizing hardware,Peace than area away data.,2025-09-14,,,,,,,,,,,,17.0,Port Cynthia,,,
event,,Innovative multi-state algorithm,Born blood pretty ever blue computer. Majority detail central role. Study key young key.,2025-09-08,,,,,,,,,,,,18.0,Meaganborough,,,
event,,Reverse-engineered 24hour ability,Plan write she require trial. Huge no think much discuss reduce. Wife color fund whose.,2025-09-06,,,,,,,,,,,,19.0,South Dan,,,
event,,Ergonomic non-volatile concept,Large mention huge firm evening prepare. Bring human pick myself amount dog apply.,2025-10-14,,,,,,,,,,,,20.0,Melissafurt,,,
event,,Up-sized uniform projection,"Civil member else field which economy. Hit north pull left.
Easy page own how animal natural.",2025-09-04,,,,,,,,,,,,21.0,East Jessica,,,
event,,Face-to-face system-worthy migration,Red develop company majority process. Hit class television probably interesting.,2025-08-21,,,,,,,,,,,,22.0,Thomasville,,,
event,,Team-oriented intangible hub,Computer main third without no. Grow in else yeah.,2025-08-16,,,,,,,,,,,,23.0,Stricklandfort,,,
event,,Enterprise-wide solution-oriented time-frame,Past practice speech live up century with out. Begin spring soldier understand daughter.,2025-08-24,,,,,,,,,,,,24.0,North Jeremy,,,
event,,Switchable cohesive middleware,Military car course yard magazine. Book music recently group. Pm movement baby third down mission.,2025-10-11,,,,,,,,,,,,25.0,Port Mariatown,,,
event,,Synergized eco-centric access,Development want scene not window much determine. Doctor decide eight degree around center record.,2025-08-02,,,,,,,,,,,,26.0,Pamelashire,,,
event,,Balanced homogeneous capacity,See chance child economic cold decade.,2025-10-06,,,,,,,,,,,,27.0,East Kara,,,
event,,Multi-lateral 6thgeneration superstructure,Probably mind cold respond.,2025-09-02,,,,,,,,,,,,28.0,New Lisaberg,,,
event,,Enhanced executive service-desk,Tonight story identify baby civil tax. Never consider begin scientist.,2025-08-22,,,,,,,,,,,,29.0,Kaylamouth,,,
event,,User-friendly grid-enabled standardization,Sort yes debate also. Point chance seat wait. Type treatment suddenly mouth.,2025-08-03,,,,,,,,,,,,30.0,West Stephanie,,,
smart_search,,,,,,,,,,,,,,,,,,1.0,Notice,Want feel by watch animal crime daughter life community.
smart_search,,,,,,,,,,,,,,,,,,2.0,Notice,Answer issue sister coach lot night share be vote.
smart_search,,,,,,,,,,,,,,,,,,3.0,Notice,Cell provide sell wonder group her national seek effort nothing.
smart_search,,,,,,,,,,,,,,,,,,4.0,Event,Charge machine western hotel someone because religious political maybe.
smart_search,,,,,,,,,,,,,,,,,,5.0,Faculty,Pick whole table reveal deep field cold safe might leg.
smart_search,,,,,,,,,,,,,,,,,,6.0,Faculty,Relationship society school agreement pretty interview.
smart_search,,,,,,,,,,,,,,,,,,7.0,Notice,Walk accept certainly young tough involve price test partner.
smart_search,,,,,,,,,,,,,,,,,,8.0,Notice,Decade key five state standard serious.
smart_search,,,,,,,,,,,,,,,,,,9.0,Notice,Real picture main early away measure week this.
smart_search,,,,,,,,,,,,,,,,,,10.0,Notice,True sometimes while church actually box.
smart_search,,,,,,,,,,,,,,,,,,11.0,Faculty,Plant claim perform court another style traditional.
smart_search,,,,,,,,,,,,,,,,,,12.0,Notice,Local federal soon our chair accept girl type marriage smile.
smart_search,,,,,,,,,,,,,,,,,,13.0,Faculty,Know hundred career direction relate probably indeed water one program share.
smart_search,,,,,,,,,,,,,,,,,,14.0,Event,Military production edge memory prepare.
smart_search,,,,,,,,,,,,,,,,,,15.0,Event,Someone manage history Democrat star north follow often station.
smart_search,,,,,,,,,,,,,,,,,,16.0,Faculty,Republican member season cover city.
smart_search,,,,,,,,,,,,,,,,,,17.0,Faculty,Door significant either movement amount hard put.
smart_search,,,,,,,,,,,,,,,,,,18.0,Notice,Article nation east about line material traditional.
smart_search,,,,,,,,,,,,,,,,,,19.0,Event,Center cold three might or democratic guess.
smart_search,,,,,,,,,,,,,,,,,,20.0,Notice,Television stage education both show responsibility beautiful PM.
smart_search,,,,,,,,,,,,,,,,,,21.0,Faculty,Allow beautiful operation use including it word method.
smart_search,,,,,,,,,,,,,,,,,,22.0,Event,Tonight election clear exactly she wife mind country.
smart_search,,,,,,,,,,,,,,,,,,23.0,Faculty,Doctor expect then suffer easy may draw.
smart_search,,,,,,,,,,,,,,,,,,24.0,Notice,Along pressure officer newspaper tend foot actually game.
smart_search,,,,,,,,,,,,,,,,,,25.0,Notice,Trip perform beautiful raise wide.
smart_search,,,,,,,,,,,,,,,,,,26.0,Faculty,Analysis three bank trouble agency fill finally threat amount individual.
smart_search,,,,,,,,,,,,,,,,,,27.0,Faculty,Ever blue piece specific author dark push popular these.
smart_search,,,,,,,,,,,,,,,,,,28.0,Notice,Ever ever ok yourself energy report course.
smart_search,,,,,,,,,,,,,,,,,,29.0,Event,Foot others force hospital shake arrive act movement.
smart_search,,,,,,,,,,,,,,,,,,30.0,Notice,Business property network design control PM.
